,movie_title,year,place,star_cast,rating,vote,link
76,Braveheart,1995,77,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.306885617017983,,/title/tt0112573/
77,Das Boot,1981,78,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.303134476105646,,/title/tt0082096/
78,3 Idiots,2009,79,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.298958203178037,,/title/tt1187043/
79,Star Wars: Episode VI - Return of the Jedi,1983,80,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.29675552436491,,/title/tt0086190/
80,Taare Zameen Par,2007,81,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.295558517886638,,/title/tt0986264/
81,Toy Story,1995,82,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.293063500583912,,/title/tt0114709/
82,Reservoir Dogs,1992,83,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.289399236163513,,/title/tt0105236/
83,Amadeus,1984,84,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.289236579342678,,/title/tt0086879/
84,Inglourious Basterds,2009,85,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.27681149831781,,/title/tt0361748/
85,Good Will Hunting,1997,86,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.27598678239514,,/title/tt0119217/
86,M - Eine Stadt sucht einen Mörder,1931,87,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.274330840317829,,/title/tt0022100/
87,Requiem for a Dream,2000,88,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.273939841093057,,/title/tt0180093/
88,2001: A Space Odyssey,1968,89,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.273320898079405,,/title/tt0062622/
89,Dangal,2016,90,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.273156775568207,,/title/tt5074352/
90,Vertigo,1958,91,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.272125484306525,,/title/tt0052357/
91,Eternal Sunshine of the Spotless Mind,2004,92,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.26273667760385,,/title/tt0338013/
92,The Irishman,2019,93,"Martin Scorsese (dir.), Robert De Niro, Al Pacino",8.260298781790308,,/title/tt1302006/
93,Citizen Kane,1941,94,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.260079787376924,,/title/tt0033467/
94,Jagten,2012,95,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.257482514418175,,/title/tt2106476/
95,Full Metal Jacket,1987,96,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.256244427648195,,/title/tt0093058/
96,North by Northwest,1959,97,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.254092770582037,,/title/tt0053125/
97,A Clockwork Orange,1971,98,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.252917199496363,,/title/tt0066921/
98,Snatch,2000,99,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.250775260685284,,/title/tt0208092/
